Overall rank,Country or region,Score,GDP per capita,normalized_gdp_per_capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Finland,7.632,1.305,0.6226145038,1.592,0.874,0.681,0.202,0.393
2,Norway,7.594,1.456,0.6946564885,1.582,0.861,0.686,0.286,0.34
3,Denmark,7.555,1.351,0.6445610687,1.59,0.868,0.683,0.284,0.408
4,Iceland,7.495,1.343,0.6407442748,1.644,0.914,0.677,0.353,0.138
5,Switzerland,7.487,1.42,0.677480916,1.549,0.927,0.66,0.256,0.357
6,Netherlands,7.441,1.361,0.6493320611,1.488,0.878,0.638,0.333,0.295
7,Canada,7.328,1.33,0.6345419847,1.532,0.896,0.653,0.321,0.291
8,New Zealand,7.324,1.268,0.6049618321,1.601,0.876,0.669,0.365,0.389
9,Sweden,7.314,1.355,0.6464694656,1.501,0.913,0.659,0.285,0.383
10,Australia,7.272,1.34,0.6393129771,1.573,0.91,0.647,0.361,0.302
11,United Kingdom,7.19,1.244,0.5935114504,1.433,0.888,0.464,0.262,0.082
12,Austria,7.139,1.341,0.6397900763,1.504,0.891,0.617,0.242,0.224
13,Costa Rica,7.072,1.01,0.481870229,1.459,0.817,0.632,0.143,0.101
14,Ireland,6.977,1.448,0.6908396947,1.583,0.876,0.614,0.307,0.306
15,Germany,6.965,1.34,0.6393129771,1.474,0.861,0.586,0.273,0.28
16,Belgium,6.927,1.324,0.6316793893,1.483,0.894,0.583,0.188,0.24
17,Luxembourg,6.91,1.576,0.7519083969,1.52,0.896,0.632,0.196,0.321
18,United States,6.886,1.398,0.6669847328,1.471,0.819,0.547,0.291,0.133
19,Israel,6.814,1.301,0.6207061069,1.559,0.883,0.533,0.354,0.272
20,United Arab Emirates,6.774,2.096,1,0.776,0.67,0.284,0.186,N/A
21,Czech Republic,6.711,1.233,0.5882633588,1.489,0.854,0.543,0.064,0.034
22,Malta,6.627,1.27,0.6059160305,1.525,0.884,0.645,0.376,0.142
23,France,6.489,1.293,0.616889313,1.466,0.908,0.52,0.098,0.176
24,Mexico,6.488,1.038,0.4952290076,1.252,0.761,0.479,0.069,0.095
25,Chile,6.476,1.131,0.5395992366,1.331,0.808,0.431,0.197,0.061
26,Taiwan,6.441,1.365,0.651240458,1.436,0.857,0.418,0.151,0.078
27,Panama,6.43,1.112,0.5305343511,1.438,0.759,0.597,0.125,0.063
28,Brazil,6.419,0.986,0.4704198473,1.474,0.675,0.493,0.11,0.088
29,Argentina,6.388,1.073,0.5119274809,1.468,0.744,0.57,0.062,0.054
30,Guatemala,6.382,0.781,0.3726145038,1.268,0.608,0.604,0.179,0.071
31,Uruguay,6.379,1.093,0.5214694656,1.459,0.771,0.625,0.13,0.155
32,Qatar,6.374,1.649,0.7867366412,1.303,0.748,0.654,0.256,0.171
33,Saudi Arabia,6.371,1.379,0.6579198473,1.331,0.633,0.509,0.098,0.127
34,Singapore,6.343,1.529,0.7294847328,1.451,1.008,0.631,0.261,0.457
35,Malaysia,6.322,1.161,0.5539122137,1.258,0.669,0.356,0.311,0.059
36,Spain,6.31,1.251,0.596851145,1.538,0.965,0.449,0.142,0.074
37,Colombia,6.26,0.96,0.4580152672,1.439,0.635,0.531,0.099,0.039
38,Trinidad & Tobago,6.192,1.223,0.5834923664,1.492,0.564,0.575,0.171,0.019
39,Slovakia,6.173,1.21,0.5772900763,1.537,0.776,0.354,0.118,0.014
40,El Salvador,6.167,0.806,0.3845419847,1.231,0.639,0.461,0.065,0.082
41,Nicaragua,6.141,0.668,0.3187022901,1.319,0.7,0.527,0.208,0.128
42,Poland,6.123,1.176,0.5610687023,1.448,0.781,0.546,0.108,0.064
43,Bahrain,6.105,1.338,0.6383587786,1.366,0.698,0.594,0.243,0.123
44,Uzbekistan,6.096,0.719,0.3430343511,1.584,0.605,0.724,0.328,0.259
45,Kuwait,6.083,1.474,0.7032442748,1.301,0.675,0.554,0.167,0.106
46,Thailand,6.072,1.016,0.4847328244,1.417,0.707,0.637,0.364,0.029
47,Italy,6,1.264,0.6030534351,1.501,0.946,0.281,0.137,0.028
48,Ecuador,5.973,0.889,0.4241412214,1.33,0.736,0.556,0.114,0.12
49,Belize,5.956,0.807,0.385019084,1.101,0.474,0.593,0.183,0.089
50,Lithuania,5.952,1.197,0.5710877863,1.527,0.716,0.35,0.026,0.006
51,Slovenia,5.948,1.219,0.5815839695,1.506,0.856,0.633,0.16,0.051
52,Romania,5.945,1.116,0.5324427481,1.219,0.726,0.528,0.088,0.001
53,Latvia,5.933,1.148,0.5477099237,1.454,0.671,0.363,0.092,0.066
54,Japan,5.915,1.294,0.6173664122,1.462,0.988,0.553,0.079,0.15
55,Mauritius,5.891,1.09,0.5200381679,1.387,0.684,0.584,0.245,0.05
56,Jamaica,5.89,0.819,0.3907442748,1.493,0.693,0.575,0.096,0.031
57,South Korea,5.875,1.266,0.6040076336,1.204,0.955,0.244,0.175,0.051
58,Northern Cyprus,5.835,1.229,0.5863549618,1.211,0.909,0.495,0.179,0.154
59,Russia,5.81,1.151,0.5491412214,1.479,0.599,0.399,0.065,0.025
60,Kazakhstan,5.79,1.143,0.5453244275,1.516,0.631,0.454,0.148,0.121
61,Cyprus,5.762,1.229,0.5863549618,1.191,0.909,0.423,0.202,0.035
62,Bolivia,5.752,0.751,0.3583015267,1.223,0.508,0.606,0.141,0.054
63,Estonia,5.739,1.2,0.572519084,1.532,0.737,0.553,0.086,0.174
64,Paraguay,5.681,0.835,0.3983778626,1.522,0.615,0.541,0.162,0.074
65,Peru,5.663,0.934,0.445610687,1.249,0.674,0.53,0.092,0.034
66,Kosovo,5.662,0.855,0.4079198473,1.23,0.578,0.448,0.274,0.023
67,Moldova,5.64,0.657,0.3134541985,1.301,0.62,0.232,0.171,0
68,Turkmenistan,5.636,1.016,0.4847328244,1.533,0.517,0.417,0.199,0.037
69,Hungary,5.62,1.171,0.5586832061,1.401,0.732,0.259,0.061,0.022
70,Libya,5.566,0.985,0.4699427481,1.35,0.553,0.496,0.116,0.148
71,Philippines,5.524,0.775,0.3697519084,1.312,0.513,0.643,0.12,0.105
