country,region,happiness_score,GDP per capita,normalized_gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
Finland,Western Europe,7.821,1.892,0.8564961521,1.258,0.775,0.736,0.109,0.534
Denmark,Western Europe,7.636,1.953,0.8841104572,1.243,0.777,0.719,0.188,0.532
Iceland,Western Europe,7.557,1.936,0.8764146673,1.32,0.803,0.718,0.27,0.191
Switzerland,Western Europe,7.512,2.026,0.9171570847,1.226,0.822,0.677,0.147,0.461
Netherlands,Western Europe,7.415,1.945,0.880488909,1.206,0.787,0.651,0.271,0.419
Luxembourg,Western Europe,7.404,2.209,1,1.155,0.79,0.7,0.12,0.388
Sweden,Western Europe,7.384,1.92,0.8691715708,1.204,0.803,0.724,0.218,0.512
Norway,Western Europe,7.365,1.997,0.9040289724,1.239,0.786,0.728,0.217,0.474
Israel,Middle East and North Africa,7.364,1.826,0.8266183794,1.221,0.818,0.568,0.155,0.143
New Zealand,North America and ANZ,7.2,1.852,0.838388411,1.235,0.752,0.68,0.245,0.483
Austria,Western Europe,7.163,1.931,0.8741511996,1.165,0.774,0.623,0.193,0.329
Australia,North America and ANZ,7.162,1.9,0.8601177003,1.203,0.772,0.676,0.258,0.341
Ireland,Western Europe,7.041,2.129,0.9637845179,1.166,0.779,0.627,0.19,0.408
Germany,Western Europe,7.034,1.924,0.870982345,1.088,0.776,0.585,0.163,0.358
Canada,North America and ANZ,7.025,1.886,0.8537799909,1.188,0.783,0.659,0.217,0.368
United States,North America and ANZ,6.977,1.982,0.8972385695,1.182,0.628,0.574,0.22,0.177
United Kingdom,Western Europe,6.943,1.867,0.8451788139,1.143,0.75,0.597,0.289,0.329
Czechia,Central and Eastern Europe,6.92,1.815,0.8216387506,1.26,0.715,0.66,0.158,0.048
Belgium,Western Europe,6.805,1.907,0.863286555,1.106,0.764,0.492,0.049,0.204
France,Western Europe,6.687,1.863,0.8433680398,1.219,0.808,0.567,0.07,0.266
Bahrain,Middle East and North Africa,6.647,1.854,0.8392937981,1.029,0.625,0.693,0.199,0.155
Slovenia,Central and Eastern Europe,6.63,1.81,0.8193752829,1.249,0.769,0.685,0.118,0.115
Costa Rica,Latin America and Caribbean,6.582,1.584,0.7170665459,1.054,0.744,0.661,0.089,0.102
United Arab Emirates,Middle East and North Africa,6.576,1.998,0.9044816659,0.98,0.633,0.702,0.204,0.25
Saudi Arabia,Middle East and North Africa,6.523,1.87,0.8465368945,1.092,0.577,0.651,0.078,0.18
Taiwan Province of China,East Asia,6.512,1.897,0.8587596197,1.095,0.733,0.542,0.075,0.168
Singapore,Southeast Asia,6.48,2.149,0.9728383884,1.127,0.851,0.672,0.163,0.587
Romania,Central and Eastern Europe,6.477,1.719,0.778180172,1.006,0.655,0.605,0.039,0.006
Spain,Western Europe,6.476,1.808,0.8184698959,1.211,0.808,0.505,0.101,0.149
Uruguay,Latin America and Caribbean,6.474,1.615,0.7311000453,1.18,0.672,0.665,0.103,0.265
Italy,Western Europe,6.467,1.834,0.8302399276,1.052,0.801,0.412,0.085,0.059
Kosovo,Central and Eastern Europe,6.455,1.362,0.6165685831,0.949,0.569,0.599,0.309,0.035
Malta,Western Europe,6.447,1.838,0.8320507017,1.169,0.789,0.679,0.174,0.166
Lithuania,Central and Eastern Europe,6.446,1.804,0.8166591218,1.204,0.659,0.496,0.053,0.077
Slovakia,Central and Eastern Europe,6.391,1.736,0.785875962,1.232,0.707,0.479,0.118,0.025
Estonia,Central and Eastern Europe,6.341,1.793,0.811679493,1.232,0.728,0.689,0.123,0.333
Panama,Latin America and Caribbean,6.309,1.715,0.7763693979,1.107,0.709,0.592,0.049,0.051
Brazil,Latin America and Caribbean,6.293,1.462,0.6618379357,1.044,0.615,0.546,0.131,0.134
Guatemala,Latin America and Caribbean,6.262,1.274,0.5767315527,0.831,0.522,0.662,0.112,0.115
Kazakhstan,Commonwealth of Independent States,6.234,1.668,0.7550928022,1.22,0.611,0.584,0.134,0.157
Cyprus,Western Europe,6.221,1.815,0.8216387506,0.909,0.819,0.448,0.123,0.062
Latvia,Central and Eastern Europe,6.18,1.732,0.7840651879,1.221,0.637,0.502,0.075,0.09
Serbia,Central and Eastern Europe,6.178,1.55,0.701674966,1.086,0.658,0.546,0.219,0.088
Chile,Latin America and Caribbean,6.172,1.651,0.7473970122,1.08,0.748,0.46,0.124,0.069
Nicaragua,Latin America and Caribbean,6.165,1.105,0.5002263468,1.029,0.617,0.617,0.168,0.212
Mexico,Latin America and Caribbean,6.128,1.552,0.7025803531,0.886,0.623,0.621,0.092,0.115
Croatia,Central and Eastern Europe,6.125,1.705,0.7718424627,1.183,0.709,0.535,0.109,0
Poland,Central and Eastern Europe,6.123,1.758,0.7958352196,1.174,0.712,0.523,0.124,0.14
El Salvador,Latin America and Caribbean,6.12,1.265,0.572657311,0.768,0.607,0.666,0.089,0.212
Kuwait,Middle East and North Africa,6.106,1.904,0.8619284744,0.983,0.747,0.617,0.087,0.147
Hungary,Central and Eastern Europe,6.086,1.748,0.7913082843,1.233,0.668,0.485,0.078,0.064
Mauritius,Sub-Saharan Africa,6.071,1.591,0.7202354006,1.116,0.568,0.589,0.131,0.107
Uzbekistan,Commonwealth of Independent States,6.063,1.219,0.5518334088,1.092,0.6,0.716,0.283,0.24
Japan,East Asia,6.039,1.835,0.8306926211,1.089,0.866,0.537,0.007,0.218
Honduras,Latin America and Caribbean,6.022,1.111,0.5029425079,0.885,0.555,0.582,0.202,0.076
Portugal,Western Europe,6.016,1.76,0.7967406066,1.078,0.777,0.655,0.016,0.039
Argentina,Latin America and Caribbean,5.967,1.592,0.7206880942,1.102,0.662,0.555,0.081,0.085
