country_name,life_ladder,normalized_gdp_per_capita,social_support,freedom_to_make_life_choices,generosity,corruption,year,normalized_healthy_life_expectancy
Finland,7.632,0.6226145038,1.592,0.681,0.202,0.393,2018,0.8485436893203884
Norway,7.594,0.6946564885,1.582,0.686,0.286,0.34,2018,0.8359223300970874
Denmark,7.555,0.6445610687,1.59,0.683,0.284,0.408,2018,0.8427184466019417
Iceland,7.495,0.6407442748,1.644,0.677,0.353,0.138,2018,0.887378640776699
Switzerland,7.487,0.677480916,1.549,0.66,0.256,0.357,2018,0.9
Netherlands,7.441,0.6493320611,1.488,0.638,0.333,0.295,2018,0.8524271844660194
Canada,7.328,0.6345419847,1.532,0.653,0.321,0.291,2018,0.8699029126213592
New Zealand,7.324,0.6049618321,1.601,0.669,0.365,0.389,2018,0.8504854368932039
Sweden,7.314,0.6464694656,1.501,0.659,0.285,0.383,2018,0.8864077669902913
Australia,7.272,0.6393129771,1.573,0.647,0.361,0.302,2018,0.883495145631068
United Kingdom,7.19,0.5935114504,1.433,0.464,0.262,0.082,2018,0.8621359223300971
Austria,7.139,0.6397900763,1.504,0.617,0.242,0.224,2018,0.8650485436893204
Costa Rica,7.072,0.481870229,1.459,0.632,0.143,0.101,2018,0.7932038834951456
Ireland,6.977,0.6908396947,1.583,0.614,0.307,0.306,2018,0.8504854368932039
Germany,6.965,0.6393129771,1.474,0.586,0.273,0.28,2018,0.8359223300970874
Belgium,6.927,0.6316793893,1.483,0.583,0.188,0.24,2018,0.8679611650485437
Luxembourg,6.91,0.7519083969,1.52,0.632,0.196,0.321,2018,0.8699029126213592
United States,6.886,0.6669847328,1.471,0.547,0.291,0.133,2018,0.7951456310679611
Israel,6.814,0.6207061069,1.559,0.533,0.354,0.272,2018,0.8572815533980582
United Arab Emirates,6.774,1.0,0.776,0.284,0.186,,2018,0.6504854368932039
Malta,6.627,0.6059160305,1.525,0.645,0.376,0.142,2018,0.858252427184466
France,6.489,0.616889313,1.466,0.52,0.098,0.176,2018,0.8815533980582525
Mexico,6.488,0.4952290076,1.252,0.479,0.069,0.095,2018,0.7388349514563107
Chile,6.476,0.5395992366,1.331,0.431,0.197,0.061,2018,0.7844660194174757
Panama,6.43,0.5305343511,1.438,0.597,0.125,0.063,2018,0.7368932038834952
Brazil,6.419,0.4704198473,1.474,0.493,0.11,0.088,2018,0.6553398058252428
Argentina,6.388,0.5119274809,1.468,0.57,0.062,0.054,2018,0.7223300970873786
Guatemala,6.382,0.3726145038,1.268,0.604,0.179,0.071,2018,0.5902912621359223
Uruguay,6.379,0.5214694656,1.459,0.625,0.13,0.155,2018,0.7485436893203884
Saudi Arabia,6.371,0.6579198473,1.331,0.509,0.098,0.127,2018,0.6145631067961165
Singapore,6.343,0.7294847328,1.451,0.631,0.261,0.457,2018,0.9786407766990292
Malaysia,6.322,0.5539122137,1.258,0.356,0.311,0.059,2018,0.6495145631067961
Spain,6.31,0.596851145,1.538,0.449,0.142,0.074,2018,0.9368932038834952
Colombia,6.26,0.4580152672,1.439,0.531,0.099,0.039,2018,0.6165048543689321
Slovakia,6.173,0.5772900763,1.537,0.354,0.118,0.014,2018,0.7533980582524272
El Salvador,6.167,0.3845419847,1.231,0.461,0.065,0.082,2018,0.6203883495145631
Nicaragua,6.141,0.3187022901,1.319,0.527,0.208,0.128,2018,0.6796116504854368
Poland,6.123,0.5610687023,1.448,0.546,0.108,0.064,2018,0.7582524271844661
Bahrain,6.105,0.6383587786,1.366,0.594,0.243,0.123,2018,0.6776699029126213
Uzbekistan,6.096,0.3430343511,1.584,0.724,0.328,0.259,2018,0.587378640776699
Thailand,6.072,0.4847328244,1.417,0.637,0.364,0.029,2018,0.6864077669902913
Italy,6.0,0.6030534351,1.501,0.281,0.137,0.028,2018,0.9184466019417475
Ecuador,5.973,0.4241412214,1.33,0.556,0.114,0.12,2018,0.7145631067961165
Lithuania,5.952,0.5710877863,1.527,0.35,0.026,0.006,2018,0.6951456310679611
Slovenia,5.948,0.5815839695,1.506,0.633,0.16,0.051,2018,0.8310679611650486
Romania,5.945,0.5324427481,1.219,0.528,0.088,0.001,2018,0.7048543689320388
Latvia,5.933,0.5477099237,1.454,0.363,0.092,0.066,2018,0.6514563106796117
Japan,5.915,0.6173664122,1.462,0.553,0.079,0.15,2018,0.9592233009708738
Mauritius,5.891,0.5200381679,1.387,0.584,0.245,0.05,2018,0.6640776699029127
Jamaica,5.89,0.3907442748,1.493,0.575,0.096,0.031,2018,0.6728155339805825
South Korea,5.875,0.6040076336,1.204,0.244,0.175,0.051,2018,0.9271844660194174
Russia,5.81,0.5491412214,1.479,0.399,0.065,0.025,2018,0.5815533980582525
Kazakhstan,5.79,0.5453244275,1.516,0.454,0.148,0.121,2018,0.612621359223301
