country_name,life_ladder,normalized_gdp_per_capita,social_support,freedom_to_make_life_choices,generosity,corruption,year,normalized_healthy_life_expectancy
Finland,7.804,0.8584705691,0.969,0.961,-0.019,0.182,2023,0.7619417475728154
Denmark,7.586,0.8861894668,0.954,0.934,0.134,0.196,2023,0.7658252427184462
Iceland,7.53,0.8754280124,0.983,0.936,0.211,0.668,2023,0.7968932038834948
Israel,7.473,0.8335235611,0.943,0.809,-0.023,0.708,2023,0.8220194174757278
Netherlands,7.403,0.88292842,0.93,0.887,0.213,0.379,2023,0.7774757281553395
Sweden,7.395,0.873308332,0.939,0.948,0.165,0.202,2023,0.8007766990291261
Norway,7.315,0.9067340616,0.943,0.947,0.141,0.283,2023,0.7755339805825239
Switzerland,7.24,0.9191260395,0.92,0.891,0.027,0.266,2023,0.8299029126213591
Luxembourg,7.228,1.0,0.879,0.915,0.024,0.345,2023,0.7823300970873781
New Zealand,7.123,0.8372737649,0.952,0.887,0.175,0.271,2023,0.7308737864077663
Austria,7.097,0.8759171694,0.888,0.855,0.102,0.497,2023,0.7619417475728154
Australia,7.095,0.8631990869,0.934,0.89,0.198,0.496,2023,0.7580582524271842
Canada,6.961,0.8553725746,0.929,0.874,0.153,0.42,2023,0.7716504854368931
Ireland,6.911,0.9783140388,0.905,0.874,0.092,0.358,2023,0.7677669902912618
United States,6.894,0.900211968,0.919,0.8,0.137,0.689,2023,0.5561165048543684
Germany,6.892,0.8726561226,0.896,0.846,0.03,0.42,2023,0.7677669902912618
Belgium,6.859,0.8669492907,0.915,0.825,0.001,0.549,2023,0.7521941747572813
United Kingdom,6.796,0.8441219632,0.882,0.852,0.253,0.454,2023,0.7289320388349512
Lithuania,6.763,0.8219468449,0.939,0.748,-0.145,0.805,2023,0.6161941747572817
France,6.661,0.8436328061,0.909,0.819,-0.1,0.553,2023,0.8066019417475725
Slovenia,6.65,0.8252078917,0.951,0.913,0.014,0.771,2023,0.758135922330097
Costa Rica,6.609,0.7215066036,0.872,0.895,-0.07,0.768,2023,0.7172815533980579
Romania,6.589,0.7846078591,0.848,0.856,-0.172,0.929,2023,0.6027572815533979
Singapore,6.587,0.9854883418,0.878,0.878,0.063,0.146,2023,0.8648543689320385
United Arab Emirates,6.571,0.916028045,0.826,0.942,0.096,0.584,2023,0.5713786407766985
Uruguay,6.494,0.7353660525,0.913,0.895,-0.065,0.575,2023,0.6201941747572812
Slovakia,6.469,0.7868905919,0.953,0.753,-0.016,0.898,2023,0.6721553398058249
Saudi Arabia,6.463,0.8459155389,0.884,0.894,-0.081,0.691,2023,0.49976699029126204
Estonia,6.455,0.8175444318,0.946,0.929,0.032,0.409,2023,0.7036893203883494
Spain,6.436,0.8173813794,0.932,0.782,-0.066,0.711,2023,0.8085436893203877
Italy,6.405,0.8327082994,0.882,0.711,-0.074,0.842,2023,0.7968932038834948
Kosovo,6.368,0.6248165661,0.844,0.861,0.259,0.866,2023,0.530679611650485
Chile,6.334,0.7479210827,0.889,0.792,-0.011,0.823,2023,0.7289320388349512
Mexico,6.33,0.704875265,0.804,0.856,-0.094,0.768,2023,0.5541747572815532
Malta,6.3,0.8371107125,0.923,0.886,0.119,0.729,2023,0.7794174757281547
Panama,6.265,0.7790640796,0.896,0.855,-0.133,0.878,2023,0.676504854368932
Poland,6.26,0.8031958259,0.925,0.765,-0.031,0.736,2023,0.6803495145631069
Nicaragua,6.259,0.5039947823,0.853,0.877,0.021,0.625,2023,0.5483495145631068
Latvia,6.213,0.7896624817,0.937,0.818,-0.056,0.83,2023,0.5774757281553398
Bahrain,6.173,0.8558617316,0.844,0.944,0.117,0.737,2023,0.555145631067961
Guatemala,6.15,0.5851948475,0.812,0.856,-0.057,0.837,2023,0.441553398058252
Kazakhstan,6.144,0.7563998043,0.931,0.853,0.0,0.721,2023,0.554252427184466
Serbia,6.144,0.7055274743,0.873,0.845,0.204,0.816,2023,0.6041941747572812
Cyprus,6.13,0.8289580955,0.826,0.724,-0.06,0.86,2023,0.8260970873786406
Japan,6.129,0.8297733572,0.894,0.799,-0.237,0.64,2023,0.886174757281553
Croatia,6.125,0.7849339638,0.917,0.757,-0.093,0.925,2023,0.676504854368932
Brazil,6.125,0.6611772379,0.836,0.801,-0.009,0.738,2023,0.5521941747572812
El Salvador,6.122,0.5807924344,0.755,0.918,-0.108,0.62,2023,0.5462912621359219
Hungary,6.041,0.7976520463,0.943,0.758,-0.059,0.839,2023,0.6201941747572812
Argentina,6.024,0.72264797,0.891,0.823,-0.089,0.814,2023,0.6085436893203884
Honduras,6.023,0.5067666721,0.766,0.843,0.097,0.843,2023,0.4867184466019414
Uzbekistan,6.014,0.5578020545,0.875,0.938,0.23,0.638,2023,0.5347961165048543
Malaysia,6.012,0.7568889614,0.799,0.877,0.16,0.758,2023,0.5488155339805827
Portugal,5.968,0.7992825697,0.878,0.902,-0.196,0.878,2023,0.7658252427184462
South Korea,5.951,0.8423283874,0.812,0.717,-0.046,0.701,2023,0.8590291262135921
Greece,5.931,0.7762921898,0.835,0.568,-0.24,0.793,2023,0.7619417475728154
Mauritius,5.902,0.7223218653,0.888,0.813,-0.028,0.775,2023,0.4784466019417475
Thailand,5.843,0.6887330833,0.874,0.85,0.289,0.91,2023,0.6570873786407767
Mongolia,5.84,0.6269362465,0.933,0.701,0.19,0.849,2023,0.3483495145631066
Kyrgyzstan,5.825,0.4824718735,0.911,0.934,0.181,0.904,2023,0.5950291262135923
Moldova,5.819,0.6476438937,0.857,0.84,-0.08,0.901,2023,0.5347184466019419
China,5.818,0.6866134029,0.836,0.882,-0.041,0.727,2023,0.6663689320388344
Vietnam,5.763,0.6130767977,0.821,0.939,-0.004,0.759,2023,0.5426019417475723
Paraguay,5.738,0.6494374694,0.906,0.891,0.021,0.843,2023,0.5580582524271844
Montenegro,5.722,0.6988423284,0.89,0.805,0.063,0.844,2023,0.6046601941747567
Jamaica,5.703,0.5931844122,0.867,0.822,-0.106,0.875,2023,0.5852427184466014
Bolivia,5.684,0.563834991,0.811,0.868,-0.063,0.846,2023,0.468699029126213
Russia,5.661,0.7635741073,0.889,0.719,-0.03,0.801,2023,0.5210485436893202
Bosnia and Herzegovina,5.633,0.6667210174,0.88,0.746,0.206,0.918,2023,0.6114563106796114
Colombia,5.63,0.6615033426,0.822,0.804,-0.104,0.834,2023,0.6920388349514557
Dominican Republic,5.569,0.6985162237,0.827,0.85,-0.099,0.657,2023,0.49976699029126204
Ecuador,5.559,0.6103049079,0.806,0.802,-0.108,0.833,2023,0.6784466019417472
Peru,5.526,0.6318278167,0.798,0.794,-0.119,0.892,2023,0.711456310679611
Philippines,5.523,0.562856677,0.78,0.919,-0.06,0.732,2023,0.4080776699029123
Bulgaria,5.466,0.7435186695,0.918,0.801,-0.057,0.911,2023,0.5813592233009706
Nepal,5.36,0.4449698353,0.748,0.808,0.146,0.783,2023,0.40066019417475696
Armenia,5.342,0.6665579651,0.79,0.796,-0.155,0.705,2023,0.631417475728155
Tajikistan,5.33,0.4418718409,0.836,0.832,-0.06,0.522,2023,0.41537864077669884
Algeria,5.329,0.6151964781,0.855,0.571,-0.117,0.717,2023,0.5832621359223302
Albania,5.277,0.6587314528,0.718,0.794,-0.007,0.878,2023,0.6842718446601941
Indonesia,5.277,0.629055927,0.804,0.88,0.531,0.876,2023,0.44730097087378606
South Africa,5.275,0.6442197946,0.907,0.73,-0.087,0.902,2023,0.21199999999999974
Venezuela,5.211,0.0,0.839,0.659,0.128,0.811,2023,0.48621359223300953
Laos,5.111,0.5600847872,0.679,0.919,0.091,0.703,2023,0.36566990291262114
